aa	個, 各位
百分之二十六點八	了百分之二十六點八
百分之二點四一	百分之二點四億
百分之八十三點三	百分之八十三點有
百分之六	
百分之六十	百分之九十齁
百分之六百六十	百分之六點四
百分之六點二十二點四	百分之六百二十二點四
百分之六點四	了百分之六點四
百分之十	百分之四
百分之十七點三	百分之七點三
百分之十七點九	百分之七點九
百分之十九	百分之十
百分之十二	百分之十二點二, 百分之十二點, 百分之十
百分之十二點七五	百分之十二點七
百分之十五	百分之十五點三
百分之十五點一	百分之十一點一
百分之十四點一	了百分之十四點一
百分之四十六點四	了百分之四十六點四
百分之四十四點九	了百分之四十四點九
百分之四點九	百分之十點九
百分之四點四	百分之十四點四
百分之零點零一	零一
百分之零點零三	百分之五點三, 了百分之零點三
百分之零點零六	百分之零點六
百分五十	百分之五十
盤升	產生
盤整	看重
盤查	看發
直利率	持續利率, 利率
直系	上面
直線	持續, 直接
相似	是
相對的的	相對的
相繼	
相聚	次
相距	相得
盼望	
看懷	看看
看淡	看待, 看到, 看待, 太大, 太大
看見	看加, 辦證, 在, 參加, 看對
真實	跟著
眾多	降多
睡覺	稅後
知名	
知識	就是
短季	短期
短暫性	董事為
短期性	短期, 短決定, 短性
短票	反照
短間期	短期
石化	
研擬	最二
破七	破, 的
破洞	都
硬體	運體, 定期
碳排	思維的, 看法, 放款
碳排量	探卡量, 看排, 上卡量
磯崎	積極
社會面	各方面
祈福	換定
祝福	這麼大家
神秘	現在
神經	曾經
票債	要
票據	票
禁用	進用
福利	股利
福岡	無
私思	
科學家	協價客
科技業	科技
科技類	qand
移上去	上去
移動	一
移動到	到
稅制	稅次
稅局	稅取
稅營	稅在
種下	
種類	準備
穩定性	穩定, 穩定
突出	著出
突然之間	忘見我
立下	利害
立即	嘛
站起來	
端倪	關係
符合性	符合
第一金	第一, 第一
第二億	第二季
第二兆	第二張
第二十	二十月
第二十一	第二十一月, 二十一月
第二十二	
第十七	第十七月, 第十, 第十七億, 十七月, 第七, 第十七月, 第十月, 第十月
第十九	九月, 第十六
第十五	第十, 認第五, 第九, 第五, 第四五
第十八	一十八月, 第三, 第八月, 第八, 第八, 類業, 利十八月
第十六	第十六億, 第六, 第六, 第六, 第十六億, 見第十六
第十四	第十, 一個, 第十, 就, 第二, 第十月, 第十, 第十月, 第十四億
第第三	第三
第第二	第二, 第二, 第二
等一ㄒ	吼等價
答覆	打到
算下來	算下
算到	放到
算回	放款
算法	狀況
管理學	環球
管理層	管理
管理處	管理
管理面	廣裡面
管裡	管理, 管理
管裡層	管理
節制	結制, 截至
節惠	結會, 協位
節能	結合
節能船	結行, 央行
範疇	個看
簽屬	前五
粗粗	透過
粘著度	黏稠度
糟糕	這麼
紀律	揭露
約略	六月
紅兵	第一
納入	如果, 真的, 沒入
納成	那
納進來	拉進來
紓困案	法案, 十五塊, 塊十五, 初那, 客案
紛擾	紛到
紛紛	
累呃	呃
累計	累積, 以及
細緻	去的, 續資
終端	東足, 狀況, 剛剛, 中張, 當
結款	的, 借款
結至	就是
結語	
結購	
絕大部份	絕大部分
統籌	分
統統一	
經典	金點
經歷	金力
經濟率	機制能率
經濟部	
經濟長	經濟
經濟面	精面, 就
經營層	可能
經由	進一步
經繼面	資金
經續	由據
綜合性	分行一定
綠電	例
網絡	網點
網購	廣東, 外
網路債	在網路
緊密	簡易
緊張	舉張
緊急	簡介
縮手	縮
縮減	縮件, 說明, 修點
縮短	它
總存	總放款
總存放比	
總市值	從
總投資	總應該
總收	走收
總收入	收入
總收益	
總整整體	總體
總整體	總體
總數	
總營業	營業費用
總獲利	個獲利
總碳排量	總卡量
總結	總經理, 董事
總結式	總置
總經	總經理
總總	董事方面
總總存款	總放款, 總存款
總餘額	總的, 總也有
績優	
繳出	繳
繳息	
繳掉	在
繳期	
繳限	表現
續約	四月, 這
缺工	千公
美卡	美法
美好	好, 好, 好
聯合國	連, 好
聯準會	會
聯絡	來能夠, 它
聯隊	對
職務	結果
職場	
職能	資合度
肆虐	策略
股票型	股票
肥沃	弱
育輝	預估, 名
肺炎	預分
胡志明	股代, 治
胡志明市	股助, 股市
能否	擔保
自已	自己
自建	之間
自用型	用型
自結	之間, 自己
自行	自己
自認	自任
自貸	自帶
自身	自息, 次在, 製深
自辦	資本
致歉	之前
舊有	有
航空	蠻通常
船舶	韓國
船運	傳面, 反應
茁壯	主軸
莫大	擴大
菁英	經濟
華南	的話, 黃
華爾街日報	還有接
萬一	意義
落幕	
落底	多
著作	呃很多
著手	所
董董事長	董事長
蓄力待發	
蓋藏	
藍圖	
處分掉	這樣子
處所	出售
處理完	逐
融入	榮入
行列	行業
行員	行業
行政院	
行證	成長
衍生性	衍伸性
表現出來	總出來
表面	我們, 保面
衰弱	那
補助	顧客
補回來	未來
補貼	股所以, 股, 股, 股
裡率	
製品	
製建	之間
複合	負額
複數	
襄理	以來, 總經理
要件	躍件
覆蓋	覆蓋率
規避	規定
視窗	是, 上面, 的話, 市場
視訊	匯率
觀光	包括, 包括
觀看	狀況, 幫
解藥	簡要
解釋函	解釋
解開	解決
訂到	並到
訂定	併定
訂購	定購
計算出來	預算
計算器	有是, 替去
計較	到
討論到	跑到
討論完	討論
訓練成	點
記者	呃
設下	有設, 設, 設
設施	方式
許程中	周期
許誠洲	吸承就
評分表	
評為	固理
評鑒	評鑑
詮釋	齁
話題	
認列成	當成
認列為	分股最
認知到	認知道
誠實	隨時
誠誠	跟
調低	兩
調成	發生
講解	
謝冠綸	謝冠仁
證照	增長
警戒	景氣
警訊	
變净	
變相	一定
變變	是
變通	變動
變遷	跟, 建, 電, 變成
變頻	變所以
負值	corporate
負擔	付
負責任	
負面	公務影響, 附面
財富處	財富, 還不錯, 還不錯
財富長	財務長, 財務長
財工	
財源	
財經處	財金處
財訊	海
貨期	活期
貸放	辦, 貸款, 貸款, 帶動
貸放出去	拜出去
貸款案	貸款
費用面	費用
貿易量	貿易戰, 貿易
資安	
資工系	子公司
資本季	本具
資本性	資本
資產品	資產品質
資通訊	資通
質量	持續
賺回	一些, 一些
購債	
購物節	公務就
赤道	知道
走弱	
起立	持齁
起見	其實
超前	過數
超支	
越來	越來呃
足不足夠	多
足跡	主機
趴下來	趴
趴趴	趴
跌到	到
跟進	記得, 感進
跟隨	
跨國	跨, 跨
跨越	
踩到	排到
身分	
身後	
身爲	中為
身體	
軟硬體	網提, 轉募, 短硬期
較多	比較多
較為	較, 較
輔導	付到
輕微	辛苦
輸入到	到
轉佳	轉加
轉加	轉
轉化	轉換
轉合	掌合
轉向	佔比
轉單	轉
轉投資	掌投資, 總是
轉折	轉
轉為	走
辦公	放公
辦理	啊
農曆	努力, 我們
迎來	銀行
近景	進行
返台	團
追問	重要, 最後
追求	追, 久
追蹤	一棟, 這一
逆勢	是, 歷史, 歷史
逆轉	
逐一	逐意, 逐
逐月	逐越
逐次	也會逐字
逐計	逐機
這麽樣	怎麼樣
通成	通膨
通貨	
通貨膨脹	通過, 樂通等到, 通路很
通通路	通路
造福	
連結到	所
連結性	連續
連鑽	連
週年	年, 三十年
週邊	的
進一	借
進程	進展
逼近	接近
逾放比率	預放比率, 預放比率
運用到	業務到
運輸	運數
過往其實	過往
道路	
違反	規範
遞減	季二
遠距	有趣
適合度	資合度
適正	戰成
適量	適得
遵循	幾c
邁入	呃
還款	放款, 還緩
邊境	管住, 精進, 嚴定
部會	顧客
部處	復甦, 顧處
鄰近	民進
酌參	做參考, 看
配對	在對於
配款	分配
配資	最
酬勞	
醫師	ecb
醫術	
采取	個
采用	用
里程碑	成單
重啟	同行
重回	從會
重因	重主要
重心	重新
重疊	重點
重症者	動作的
重複	程戶
量化	讓
量話	量的話
金個	個金
金品	整體, 精體, 精體
金控會	金會
金服	的金處
金產通	
金融史	金融
金融獎	金融
金貸	
金質獎	講
金長	附長
銀行卡	銀行
銷量	下, 在
鋪顯	曝險
錢幣	
鎖定	所
長健	這樣
長度	
長線	呈現, 呃, 線, 長項
長足	上升
長遠性	
開卡	pi卡
開帳	開放
開拓	
開立	
間斷	見, 建端
閱讀	日度
關心到	覺得
關愛	規劃
關懷	包
關閉	
防務	房訴
防疫	反映, 法令, 反應, 房健康, 反, 房
防禦性	房地性, 行性
附帶	大家
附注	速度
附錄	付碼, 速度, 初四
降下	下降
降幅	降低
降溫	加溫
降為	降三點六, 佔
降至	是
限電	證券
陪伴	開放
階層	他
隔離	
隨即	
隱憂	飲, 領域
集合	
雙管齊下	當短期
難以	難, 難, 哪裡
難能可貴	難任可貴
難道	他
雨量	個
雲因	
零八零	零八年
零净林	呃
零受	
零幾	二點零期
零炭排	
零碳	看
零組件	名件
零點一一	連續
零點一二	零點六個
零點一零	零點一五
零點七一	零點七億, 零點七
零點七一一	零點七一
零點七九一	零點七九, 零點七九
零點七九七	零點七九
零點七四	是零點七四
零點三二	零點一, 零點二
零點九二	零點九百
零點二十	零點二一
零點二幾	零點二七
零點五七	零點七
零點八一	零點一八億, 零點八億
零點四一	零點
零點四二	五點四個
零點四五四六	零點四五
零點零	零點零一
零點零七	要, 今年年底
零點零八	呃零點八七
零點零六	零點一六
電力	歷史
電動	變動
電動車	變動呃
電子業	電子
電廠	還
電影	面有
電資	電子, 電置
需不需要	
震蕩	
靜止	電子
靜脈	他
非利收	非利息收入, 非中
靠山	挑戰, 特商, 發生
靠近	跨境
面紗	產品
鞠躬	一起
響應	長, 想
頂級	
頂級卡	平台, 理財, 試到
順心	
預兆	如果
預先	玉山
預山	玉山
預料	非常, 另外, 正式
領導	第一
領導力	連導力
題材	新臺
願景	電子
顛倒	變大
類型	
類推	類
顧及	
顧問式	顧支
顧客數	顧客, 數顧客
顧收	物收
顯得	先的, 選得
風電	風險, 公店, 後面, 方面, 後面, 風險
飛輪	費用
飯店業	放定業
餐廳	參經, 安場
餐飲	單甸, 開業, 看, 阿或者, 乘等
餐飲業	看, 看, 看
餘額會	都會
餘額金	餘額
首創	手辦, 總, 走card, 總上
首度	股東
首重	是
驅動	更
體制	體質
體育	舉
高價格	高的
高出	八億二十
高利	高地
高吼	高齁
高峰期	高金, 高風險
高淨值	
高科技	包括是
高績期	地期高
高資產	那資產
高達	高到
高高	報客群
麽樣	這麼
黃男洲	好像
黏著	年準
黏著度	年度, 年
點一	十點一
點三	百分之十五點三, 四十三點三
點二億	點
點位	電位
點八	四二點八
點八六	八點八六
點六	四點六
點線	線
鼓利	
齁因爲	齁因為
齁齁	齁
齊備	奇備
